date,temperaturemin,temperaturemax
2008-01-24,30,46.9
2008-01-25,21,39
2008-01-26,28.9,48
2008-01-27,26.1,52
2008-01-28,24.1,55
2008-01-29,37,64
2008-01-30,30.9,57
2008-01-31,27,51.1
2008-02-01,36,60.1
2008-02-02,28.9,61
2008-02-03,37.9,66
2008-02-04,41,71.1
2008-02-05,48,75.9
2008-02-06,61,77
2008-02-07,43,66
2008-02-08,35.1,59
2008-02-09,42.1,66.9
2008-02-10,37.9,64.9
2008-02-11,27,46.9
2008-02-12,30,62.1
2008-02-13,34,55.9
2008-02-14,28,50
2008-02-15,33.1,61
2008-02-16,41,57.9
2008-02-17,37,64.9
2008-02-18,45,73
2008-02-19,30.9,55
2008-02-20,30.9,64.9
2008-02-21,30,43
2008-02-22,32,42.1
2008-02-23,42.1,62.1
2008-02-24,37,46
2008-02-25,35.1,61
2008-02-26,46.9,61
2008-02-27,28.9,48.9
2008-02-28,21.9,43
2008-02-29,26.1,55.9
2008-03-01,39.9,64.9
2008-03-02,32,63
2008-03-03,39,73.9
2008-03-04,57.9,73.9
2008-03-05,44.1,64
2008-03-06,37.9,66.9
2008-03-07,46,59
2008-03-08,35.1,66
2008-03-09,28,52
2008-03-10,28,63
2008-03-11,37,64
2008-03-12,44.1,68
2008-03-13,37,75.9
2008-03-14,51.1,73.9
2008-03-15,46.9,68
2008-03-16,46.9,63
2008-03-17,33.1,57.9
2008-03-18,39,59
2008-03-19,57,75
2008-03-20,41,66
2008-03-21,33.1,66.9
2008-03-22,48,75
2008-03-23,37,57.9
2008-03-24,36,51.1
2008-03-25,28.9,57.9
2008-03-26,41,73
2008-03-27,46.9,77
2008-03-28,57,81
2008-03-29,41,68
2008-03-30,41,45
2008-03-31,44.1,60.1
2008-04-01,60.1,77
2008-04-02,51.1,66
2008-04-03,46,52
2008-04-04,45,73
2008-04-05,60.1,64.9
2008-04-06,48.9,61
2008-04-07,46,55.9
2008-04-08,46.9,64
2008-04-09,51.1,71.1
2008-04-10,48,78.1
2008-04-11,57,82.9
2008-04-12,57,75.9
2008-04-13,46,66.9
2008-04-14,37,55
2008-04-15,37.9,61
2008-04-16,32,68
2008-04-17,37.9,80.1
2008-04-18,46,86
2008-04-19,54,82
2008-04-20,48,73.9
2008-04-21,46,69.1
2008-04-22,55.9,71.1
2008-04-23,55.9,75.9
2008-04-24,51.1,80.1
2008-04-25,55,82
2008-04-26,60.1,87.1
2008-04-27,63,79
2008-04-28,55.9,71.1
2008-04-29,45,61
2008-04-30,37.9,66.9
2008-05-01,48,78.1
2008-05-02,57,81
2008-05-03,60.1,80.1
2008-05-04,60.1,82
2008-05-05,55,73
2008-05-06,54,79
2008-05-07,51.1,82.9
2008-05-08,64.9,77
2008-05-09,63,82
2008-05-10,55.9,80.1
2008-05-11,51.1,66.9
2008-05-12,51.1,64
2008-05-13,44.1,71.1
2008-05-14,44.1,73.9
2008-05-15,60.1,78.1
2008-05-16,57.9,82
2008-05-17,46.9,75
2008-05-18,53.1,79
2008-05-19,52,75
2008-05-20,57.9,82.9
2008-05-21,52,75
2008-05-22,48,78.1
2008-05-23,52,79
2008-05-24,54,75
2008-05-25,52,80.1
2008-05-26,55,84
2008-05-27,63,87.1
2008-05-28,55.9,73
2008-05-29,55,78.1
